label,level_1,level_2,level_3,level_4
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/babsonx-executive-leadership,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/babsonx-financial-decision-making-for-leaders,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/babsonx-fundamentals-of-financial-analysis,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/babsonx-marketing-strategy,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/berkeleyx-beyond-diversity-anti-racism-and-equity-in-the-workplace,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/berkeleyx-data-88ex-economic-models-with-python,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/berkeleyx-entrepreneurship-for-all-the-startup-guide-by-silicon-valley-insiders,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/berkeleyx-science-of-happiness-at-work,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/catalystx-inclusive-leadership,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/catalystx-race-gender-and-workplace-equity,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/chalmersx-battery-electric-vehicles-and-hybrid-vehicles,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/chalmersx-computer-system-design-concepts-of-modern-microprocessors,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/chalmersx-foundations-of-environmental-science-measuring-and-monitoring-our-planet,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/chalmersx-sensor-fusion-and-multi-object-tracking,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/chalmersx-supply-chain-management-and-logistics,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/codio-c-programming-a-hands-on-introduction,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/codio-java-programming-a-hands-on-introduction,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/codio-python-programming-a-hands-on-introduction,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/columbiax-corporate-finance,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/columbiax-essential-math-for-ai-programming-data-structures,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/curtinx-5g-networking,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/curtinx-software-defined-networking,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/dartmouth-imtx-c-programming-with-linux,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/dartmouthx-data-analytics-for-digital-transformation,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/dartmouthx-digital-transformation-for-managers,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/dartmouthx-epidemiology,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/dartmouthx-leading-innovation-with-vijay-govindarajan,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/dartmouthx-retail-and-omnichannel-management,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/dartmouthx-strategic-corporate-communication,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/davidson-college-fundamentals-of-data-visualization-with-power-bi,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/davidson-galileo-ai-for-marketing,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/davidsonx-data-analysis-basics-with-excel,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/davidsonx-drug-activity-disposition-and-safety,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/davidsonx-drug-discovery-and-lead-optimization,
